Fecha;Año;Mes;dia;Trimestre;Dia_semana;Semana;Dia_año;Numero de Asegurados
1/1/2012;2012;1;1;1;1;1;1;603160
1/2/2012;2012;2;1;1;4;5;4;612813
1/3/2012;2012;3;1;1;5;9;5;616574
1/4/2012;2012;4;1;2;1;14;1;616036
1/5/2012;2012;5;1;2;3;18;3;626015
1/6/2012;2012;6;1;2;6;22;6;622641
1/7/2012;2012;7;1;3;1;27;1;623115
1/8/2012;2012;8;1;3;4;31;4;624644
1/9/2012;2012;9;1;3;7;35;7;624099
1/10/2012;2012;10;1;4;2;40;2;627408
1/11/2012;2012;11;1;4;5;44;5;641451
1/12/2012;2012;12;1;4;7;48;7;643538
1/1/2013;2013;1;1;1;3;1;3;651130
1/2/2013;2013;2;1;1;6;5;6;661617
1/3/2013;2013;3;1;1;6;9;6;664051
1/4/2013;2013;4;1;2;2;14;2;669625
1/5/2013;2013;5;1;2;4;18;4;673951
1/6/2013;2013;6;1;2;7;22;7;675391
1/7/2013;2013;7;1;3;2;27;2;676207
1/8/2013;2013;8;1;3;5;31;5;678861
1/9/2013;2013;9;1;3;1;36;1;673116
1/10/2013;2013;10;1;4;3;40;3;677667
1/11/2013;2013;11;1;4;6;44;6;692167
1/12/2013;2013;12;1;4;1;49;1;687804
1/1/2014;2014;1;1;1;4;1;4;690870
1/2/2014;2014;2;1;1;7;5;7;698226
1/3/2014;2014;3;1;1;7;9;7;705692
1/4/2014;2014;4;1;2;3;14;3;702076
1/5/2014;2014;5;1;2;5;18;5;711910
1/6/2014;2014;6;1;2;1;23;1;709019
1/7/2014;2014;7;1;3;3;27;3;709240
1/8/2014;2014;8;1;3;6;31;6;710907
1/9/2014;2014;9;1;3;2;36;2;710087
1/10/2014;2014;10;1;4;4;40;4;716037
1/11/2014;2014;11;1;4;7;44;7;731774
1/12/2014;2014;12;1;4;2;49;2;725014
1/1/2015;2015;1;1;1;5;1;5;732885
1/2/2015;2015;2;1;1;1;6;1;743822
1/3/2015;2015;3;1;1;1;10;1;753626
1/4/2015;2015;4;1;2;4;14;4;755434
1/5/2015;2015;5;1;2;6;18;6;769880
1/6/2015;2015;6;1;2;2;23;2;770317
1/7/2015;2015;7;1;3;4;27;4;774810
1/8/2015;2015;8;1;3;7;31;7;781638
1/9/2015;2015;9;1;3;3;36;3;784168
1/10/2015;2015;10;1;4;5;40;5;795991
1/11/2015;2015;11;1;4;1;45;1;807678
1/12/2015;2015;12;1;4;3;49;3;810654
1/1/2016;2016;1;1;1;6;1;6;824865
1/2/2016;2016;2;1;1;2;6;2;835631
1/3/2016;2016;3;1;1;3;10;3;838030
1/4/2016;2016;4;1;2;6;14;6;840436
1/5/2016;2016;5;1;2;1;19;1;842849
1/6/2016;2016;6;1;2;4;23;4;845268
1/7/2016;2016;7;1;3;6;27;6;847695
1/8/2016;2016;8;1;3;2;32;2;850129
1/9/2016;2016;9;1;3;5;36;5;852569
1/10/2016;2016;10;1;4;7;40;7;855017
1/11/2016;2016;11;1;4;3;45;3;857472
1/12/2016;2016;12;1;4;5;49;5;859933
1/1/2017;2017;1;1;1;1;1;1;738018
1/2/2017;2017;2;1;1;4;5;4;747669
1/3/2017;2017;3;1;1;4;9;4;752662
1/4/2017;2017;4;1;2;7;13;7;752277
1/5/2017;2017;5;1;2;2;18;2;756177
1/6/2017;2017;6;1;2;5;22;5;753825
1/7/2017;2017;7;1;3;7;26;7;751209
1/8/2017;2017;8;1;3;3;31;3;748804
1/9/2017;2017;9;1;3;6;35;6;747029
1/10/2017;2017;10;1;4;1;40;1;750441
1/11/2017;2017;11;1;4;4;44;4;761356
1/12/2017;2017;12;1;4;6;48;6;758663
1/1/2018;2018;1;1;1;2;1;2;767972
1/2/2018;2018;2;1;1;5;5;5;777055
1/3/2018;2018;3;1;1;5;9;5;783794
1/4/2018;2018;4;1;2;1;14;1;781371
1/5/2018;2018;5;1;2;3;18;3;771331
1/6/2018;2018;6;1;2;6;22;6;740106
1/7/2018;2018;7;1;3;1;27;1;712782
1/8/2018;2018;8;1;3;4;31;4;701775
1/9/2018;2018;9;1;3;7;35;7;695575
1/10/2018;2018;10;1;4;2;40;2;694657
1/11/2018;2018;11;1;4;5;44;5;701217
1/12/2018;2018;12;1;4;7;48;7;696644
1/1/2019;2019;1;1;1;3;1;3;698245
1/2/2019;2019;2;1;1;6;5;6;696934
1/3/2019;2019;3;1;1;6;9;6;693919
1/4/2019;2019;4;1;2;2;14;2;685118
1/5/2019;2019;5;1;2;4;18;4;684654
1/6/2019;2019;6;1;2;7;22;7;677281
1/7/2019;2019;7;1;3;2;27;2;672334
1/8/2019;2019;8;1;3;5;31;5;668811
1/9/2019;2019;9;1;3;1;36;1;663115
1/10/2019;2019;10;1;4;3;40;3;667274
1/11/2019;2019;11;1;4;6;44;6;676616
1/12/2019;2019;12;1;4;1;49;1;674881
1/1/2020;2020;1;1;1;4;1;4;681311
1/2/2020;2020;2;1;1;7;5;7;689615
1/3/2020;2020;3;1;1;1;10;1;687441
1/4/2020;2020;4;1;2;4;14;4;668373
1/5/2020;2020;5;1;2;6;18;6;658028
1/6/2020;2020;6;1;2;2;23;2;648019
1/7/2020;2020;7;1;3;4;27;4;645696
1/8/2020;2020;8;1;3;7;31;7;648613
1/9/2020;2020;9;1;3;3;36;3;649338
1/10/2020;2020;10;1;4;5;40;5;660318
1/11/2020;2020;11;1;4;1;45;1;666882
1/12/2020;2020;12;1;4;3;49;3;675578
1/1/2021;2021;1;1;1;6;1;6;688607
1/2/2021;2021;2;1;1;2;6;2;696666
1/3/2021;2021;3;1;1;2;10;2;703638
1/4/2021;2021;4;1;2;5;14;5;705587
1/5/2021;2021;5;1;2;7;18;7;711587
1/6/2021;2021;6;1;2;3;23;3;709666
1/7/2021;2021;7;1;3;5;27;5;710019
1/8/2021;2021;8;1;3;1;32;1;710136
1/9/2021;2021;9;1;3;4;36;4;707489
1/10/2021;2021;10;1;4;6;40;6;715439
1/11/2021;2021;11;1;4;2;45;2;726154
1/12/2021;2021;12;1;4;4;49;4;721975
1/1/2022;2022;1;1;1;7;1;7;731705
1/2/2022;2022;2;1;1;3;6;3;736827
1/3/2022;2022;3;1;1;3;10;3;744934
1/4/2022;2022;4;1;2;6;14;6;741484
1/5/2022;2022;5;1;2;1;19;1;741490
1/6/2022;2022;6;1;2;4;23;4;753201
1/7/2022;2022;7;1;3;6;27;6;755908
1/8/2022;2022;8;1;3;2;32;2;758571
1/9/2022;2022;9;1;3;5;36;5;761201
1/10/2022;2022;10;1;4;7;40;7;763805
1/11/2022;2022;11;1;4;3;45;3;766387
1/12/2022;2022;12;1;4;5;49;5;768950
