Fecha,Año,Mes,Dia,Trimestre,Dia_semana,semana,dia_año,Ventas
1/1/2015,2015,1,1,1,5,1,1,1620978.089
2/1/2015,2015,1,2,1,6,1,2,2480058.874
3/1/2015,2015,1,3,1,7,1,3,2602977.661
4/1/2015,2015,1,4,1,1,2,4,2614024.991
5/1/2015,2015,1,5,1,2,2,5,2922174.179
6/1/2015,2015,1,6,1,3,2,6,4789244.147
7/1/2015,2015,1,7,1,4,2,7,4931879.833
8/1/2015,2015,1,8,1,5,2,8,7023735.315
9/1/2015,2015,1,9,1,6,2,9,31138739.37
10/1/2015,2015,1,10,1,7,2,10,51260805.54
11/1/2015,2015,1,11,1,1,3,11,24725853.57
12/1/2015,2015,1,12,1,2,3,12,119354327.5
13/1/2015,2015,1,13,1,3,3,13,71771092.7
14/1/2015,2015,1,14,1,4,3,14,46438458.98
15/1/2015,2015,1,15,1,5,3,15,69966144.71
16/1/2015,2015,1,16,1,6,3,16,189913551.7
17/1/2015,2015,1,17,1,7,3,17,268215820.2
18/1/2015,2015,1,18,1,1,4,18,111313070.2
19/1/2015,2015,1,19,1,2,4,19,43783168.47
20/1/2015,2015,1,20,1,3,4,20,10102906.28
21/1/2015,2015,1,21,1,4,4,21,25560409.18
22/1/2015,2015,1,22,1,5,4,22,31336388.91
23/1/2015,2015,1,23,1,6,4,23,7267179.425
24/1/2015,2015,1,24,1,7,4,24,6633153.323
25/1/2015,2015,1,25,1,1,5,25,5815741.418
26/1/2015,2015,1,26,1,2,5,26,6138222.218
27/1/2015,2015,1,27,1,3,5,27,8660209.414
28/1/2015,2015,1,28,1,4,5,28,6887744.633
29/1/2015,2015,1,29,1,5,5,29,7417487.618
30/1/2015,2015,1,30,1,6,5,30,15123383.81
31/1/2015,2015,1,31,1,7,5,31,6489667.853
1/2/2015,2015,2,1,1,1,6,1,8372.14
2/2/2015,2015,2,2,1,2,6,2,5399477.7
3/2/2015,2015,2,3,1,3,6,3,5478992.81
4/2/2015,2015,2,4,1,4,6,4,4929113.55
5/2/2015,2015,2,5,1,5,6,5,6210050.62
6/2/2015,2015,2,6,1,6,6,6,7060965.67
7/2/2015,2015,2,7,1,7,6,7,2175861.41
8/2/2015,2015,2,8,1,1,7,8,30380.79
9/2/2015,2015,2,9,1,2,7,9,16772702.79
10/2/2015,2015,2,10,1,3,7,10,20302372.86
11/2/2015,2015,2,11,1,4,7,11,46123009.5
12/2/2015,2015,2,12,1,5,7,12,265362081.4
13/2/2015,2015,2,13,1,6,7,13,125870089.6
14/2/2015,2015,2,14,1,7,7,14,17242026.08
15/2/2015,2015,2,15,1,1,8,15,222956.36
16/2/2015,2015,2,16,1,2,8,16,290847285.5
17/2/2015,2015,2,17,1,3,8,17,501119528.9
18/2/2015,2015,2,18,1,4,8,18,10629487.94
19/2/2015,2015,2,19,1,5,8,19,16750038.69
20/2/2015,2015,2,20,1,6,8,20,21951648.39
21/2/2015,2015,2,21,1,7,8,21,3142779.73
22/2/2015,2015,2,22,1,1,9,22,23219.85
23/2/2015,2015,2,23,1,2,9,23,17168881.71
24/2/2015,2015,2,24,1,3,9,24,10480883.2
25/2/2015,2015,2,25,1,4,9,25,7803088.29
