Fecha,Año,Mes,Dia,Trimestre,Dia_semana,semana,dia_año,Ventas
2015-01-01,2015,1,1,,5,1,,1620978.089
2015-01-02,2015,1,2,,6,1,,2480058.874
2015-01-03,2015,1,3,,7,1,,2602977.661
2015-01-04,2015,1,4,,1,2,,2614024.991
2015-01-05,2015,1,5,,2,2,,2922174.179
2015-01-06,2015,1,6,,3,2,,4789244.147
2015-01-07,2015,1,7,,4,2,,4931879.833
2015-01-08,2015,1,8,,5,2,,7023735.315
2015-01-09,2015,1,9,,6,2,,31138739.37
2015-01-10,2015,1,10,,7,2,,51260805.54
2015-01-11,2015,1,11,,1,3,,24725853.57
2015-01-12,2015,1,12,,2,3,,119354327.5
2015-01-13,2015,1,13,,3,3,,71771092.7
2015-01-14,2015,1,14,,4,3,,46438458.98
2015-01-15,2015,1,15,,5,3,,69966144.71
2015-01-16,2015,1,16,,6,3,,189913551.7
2015-01-17,2015,1,17,,7,3,,268215820.2
2015-01-18,2015,1,18,,1,4,,111313070.2
2015-01-19,2015,1,19,,2,4,,43783168.47
2015-01-20,2015,1,20,,3,4,,10102906.28
2015-01-21,2015,1,21,,4,4,,25560409.18
2015-01-22,2015,1,22,,5,4,,31336388.91
2015-01-23,2015,1,23,,6,4,,7267179.425
2015-01-24,2015,1,24,,7,4,,6633153.323
2015-01-25,2015,1,25,,1,5,,5815741.418
2015-01-26,2015,1,26,,2,5,,6138222.218
2015-01-27,2015,1,27,,3,5,,8660209.414
2015-01-28,2015,1,28,,4,5,,6887744.633
2015-01-29,2015,1,29,,5,5,,7417487.618
2015-01-30,2015,1,30,,6,5,,15123383.81
2015-01-31,2015,1,31,,7,5,,6489667.853
2015-02-01,2015,2,1,,1,6,,8372.14
2015-02-02,2015,2,2,,2,6,,5399477.7
2015-02-03,2015,2,3,,3,6,,5478992.81
2015-02-04,2015,2,4,,4,6,,4929113.55
2015-02-05,2015,2,5,,5,6,,6210050.62
2015-02-06,2015,2,6,,6,6,,7060965.67
2015-02-07,2015,2,7,,7,6,,2175861.41
2015-02-08,2015,2,8,,1,7,,30380.79
2015-02-09,2015,2,9,,2,7,,16772702.79
2015-02-10,2015,2,10,,3,7,,20302372.86
2015-02-11,2015,2,11,,4,7,,46123009.5
2015-02-12,2015,2,12,,5,7,,265362081.4
2015-02-13,2015,2,13,,6,7,,125870089.6
2015-02-14,2015,2,14,,7,7,,17242026.08
2015-02-15,2015,2,15,,1,8,,222956.36
2015-02-16,2015,2,16,,2,8,,290847285.5
2015-02-17,2015,2,17,,3,8,,501119528.9
2015-02-18,2015,2,18,,4,8,,10629487.94
2015-02-19,2015,2,19,,5,8,,16750038.69
2015-02-20,2015,2,20,,6,8,,21951648.39
2015-02-21,2015,2,21,,7,8,,3142779.73
2015-02-22,2015,2,22,,1,9,,23219.85
2015-02-23,2015,2,23,,2,9,,17168881.71
2015-02-24,2015,2,24,,3,9,,10480883.2
2015-02-25,2015,2,25,,4,9,,7803088.29
2015-02-26,2015,2,26,,5,9,,11631702.89
2015-02-27,2015,2,27,,6,9,,35729347.86
2015-02-28,2015,2,28,,7,9,,8198187.53
2015-03-01,2015,3,1,,1,10,,56031.69
2015-03-02,2015,3,2,,2,10,,4520511.63
2015-03-03,2015,3,3,,3,10,,4638626.59
2015-03-04,2015,3,4,,4,10,,6488252.2
2015-03-05,2015,3,5,,5,10,,3395245.98
2015-03-06,2015,3,6,,6,10,,7606015.1
2015-03-07,2015,3,7,,7,10,,1893804.75
2015-03-08,2015,3,8,,1,11,,20168.54
2015-03-09,2015,3,9,,2,11,,22794857
2015-03-10,2015,3,10,,3,11,,19563393.16
2015-03-11,2015,3,11,,4,11,,40748410.02
2015-03-12,2015,3,12,,5,11,,278034659.5
2015-03-13,2015,3,13,,6,11,,125094212.3
2015-03-14,2015,3,14,,7,11,,28678321.23
2015-03-15,2015,3,15,,1,12,,315030.16
2015-03-16,2015,3,16,,2,12,,241834476.2
2015-03-17,2015,3,17,,3,12,,532099375.7
2015-03-18,2015,3,18,,4,12,,15101537.46
2015-03-19,2015,3,19,,5,12,,13802408.12
2015-03-20,2015,3,20,,6,12,,12419552.74
2015-03-21,2015,3,21,,7,12,,4424874.09
2015-03-22,2015,3,22,,1,13,,17386.44
2015-03-23,2015,3,23,,2,13,,8172730.25
2015-03-24,2015,3,24,,3,13,,9199039.82
2015-03-25,2015,3,25,,4,13,,10483805.53
2015-03-26,2015,3,26,,5,13,,11203278.1
2015-03-27,2015,3,27,,6,13,,13238944.34
2015-03-28,2015,3,28,,7,13,,8158464.63
2015-03-29,2015,3,29,,1,14,,74371.52
2015-03-30,2015,3,30,,2,14,,11562332.39
2015-03-31,2015,3,31,,3,14,,15397359.21
2015-04-01,2015,4,1,,4,14,,1217014.18
2015-04-02,2015,4,2,,5,14,,918.13
2015-04-03,2015,4,3,,6,14,,0
2015-04-04,2015,4,4,,7,14,,4800.2
2015-04-05,2015,4,5,,1,15,,5449.06
2015-04-06,2015,4,6,,2,15,,3362938.49
2015-04-07,2015,4,7,,3,15,,4086227.51
2015-04-08,2015,4,8,,4,15,,8011548.96
2015-04-09,2015,4,9,,5,15,,6776497.21
2015-04-10,2015,4,10,,6,15,,19892719.07
2015-04-11,2015,4,11,,7,15,,4195439.05
2015-04-12,2015,4,12,,1,16,,21176.05
2015-04-13,2015,4,13,,2,16,,36700575.69
2015-04-14,2015,4,14,,3,16,,59935305.78
2015-04-15,2015,4,15,,4,16,,132099913.3
2015-04-16,2015,4,16,,5,16,,474458474.8
2015-04-17,2015,4,17,,6,16,,608747472.1
2015-04-18,2015,4,18,,7,16,,5228640.09
2015-04-19,2015,4,19,,1,17,,88914.33
2015-04-20,2015,4,20,,2,17,,15278236.81
2015-04-21,2015,4,21,,3,17,,13459933.51
2015-04-22,2015,4,22,,4,17,,12564504.24
2015-04-23,2015,4,23,,5,17,,9339495.62
2015-04-24,2015,4,24,,6,17,,10851771.39
2015-04-25,2015,4,25,,7,17,,1489115.84
2015-04-26,2015,4,26,,1,18,,17603.05
2015-04-27,2015,4,27,,2,18,,11329256.27
2015-04-28,2015,4,28,,3,18,,7741561.18
2015-04-29,2015,4,29,,4,18,,12271400.75
2015-04-30,2015,4,30,,5,18,,30383508.55
2015-05-01,2015,5,1,,6,18,,3656.78
2015-05-02,2015,5,2,,7,18,,342378.33
2015-05-03,2015,5,3,,1,19,,1412.5
2015-05-04,2015,5,4,,2,19,,5236371.435
2015-05-05,2015,5,5,,3,19,,5979620.73
2015-05-06,2015,5,6,,4,19,,5555424.284
2015-05-07,2015,5,7,,5,19,,4213243.04
2015-05-08,2015,5,8,,6,19,,11762352.75
2015-05-09,2015,5,9,,7,19,,3565068.42
2015-05-10,2015,5,10,,1,20,,31063.25
2015-05-11,2015,5,11,,2,20,,19185485.41
2015-05-12,2015,5,12,,3,20,,257420483.2
2015-05-13,2015,5,13,,4,20,,50526454.18
2015-05-14,2015,5,14,,5,20,,89346009.87
2015-05-15,2015,5,15,,6,20,,162881164.5
2015-05-16,2015,5,16,,7,20,,22180832.81
2015-05-17,2015,5,17,,1,21,,222678.36
2015-05-18,2015,5,18,,2,21,,306681196.3
2015-05-19,2015,5,19,,3,21,,425280399.7
2015-05-20,2015,5,20,,4,21,,11307079.3
2015-05-21,2015,5,21,,5,21,,12848535.18
2015-05-22,2015,5,22,,6,21,,23707526.66
2015-05-23,2015,5,23,,7,21,,1538038.37
2015-05-24,2015,5,24,,1,22,,8271.94
2015-05-25,2015,5,25,,2,22,,9773834.75
2015-05-26,2015,5,26,,3,22,,10746586.18
2015-05-27,2015,5,27,,4,22,,10465821.81
2015-05-28,2015,5,28,,5,22,,11862349.36
2015-05-29,2015,5,29,,6,22,,21566715.79
2015-05-30,2015,5,30,,7,22,,11612414.99
2015-05-31,2015,5,31,,1,23,,60935.81
2015-06-01,2015,6,1,,2,23,,6739970.47
2015-06-02,2015,6,2,,3,23,,3992006.432
2015-06-03,2015,6,3,,4,23,,2775898.02
2015-06-04,2015,6,4,,5,23,,3216689.76
2015-06-05,2015,6,5,,6,23,,7819502.62
2015-06-06,2015,6,6,,7,23,,1772903
2015-06-07,2015,6,7,,1,24,,10140.69
2015-06-08,2015,6,8,,2,24,,17017761.19
2015-06-09,2015,6,9,,3,24,,18226061.44
2015-06-10,2015,6,10,,4,24,,246711221.6
2015-06-11,2015,6,11,,5,24,,42313517.16
2015-06-12,2015,6,12,,6,24,,97889421.64
2015-06-13,2015,6,13,,7,24,,17107337.99
2015-06-14,2015,6,14,,1,25,,386300.181
2015-06-15,2015,6,15,,2,25,,144977128.8
2015-06-16,2015,6,16,,3,25,,170120948
2015-06-17,2015,6,17,,4,25,,305862292.6
2015-06-18,2015,6,18,,5,25,,345730947.1
2015-06-19,2015,6,19,,6,25,,16447596.82
2015-06-20,2015,6,20,,7,25,,1933444.82
2015-06-21,2015,6,21,,1,26,,50814.98
2015-06-22,2015,6,22,,2,26,,7401417.82
2015-06-23,2015,6,23,,3,26,,10048227.03
2015-06-24,2015,6,24,,4,26,,8573673.85
2015-06-25,2015,6,25,,5,26,,9311331.56
2015-06-26,2015,6,26,,6,26,,11522300.14
2015-06-27,2015,6,27,,7,26,,2418626.25
2015-06-28,2015,6,28,,1,27,,24863.48
2015-06-29,2015,6,29,,2,27,,15190915.79
2015-06-30,2015,6,30,,3,27,,29869786.34
2015-07-01,2015,7,1,,4,27,,3599723.9
2015-07-02,2015,7,2,,5,27,,7481323.12
2015-07-03,2015,7,3,,6,27,,3021905.644
2015-07-04,2015,7,4,,7,27,,1685095.06
2015-07-05,2015,7,5,,1,28,,21746.62
2015-07-06,2015,7,6,,2,28,,10579393.88
2015-07-07,2015,7,7,,3,28,,15600374.99
2015-07-08,2015,7,8,,4,28,,17424906.25
2015-07-09,2015,7,9,,5,28,,28079117.31
2015-07-10,2015,7,10,,6,28,,268013138.8
2015-07-11,2015,7,11,,7,28,,8681282.5
2015-07-12,2015,7,12,,1,29,,101997.58
2015-07-13,2015,7,13,,2,29,,72868488.33
2015-07-14,2015,7,14,,3,29,,102791375.1
2015-07-15,2015,7,15,,4,29,,144377622.6
2015-07-16,2015,7,16,,5,29,,291511723.3
2015-07-17,2015,7,17,,6,29,,424595521.8
2015-07-18,2015,7,18,,7,29,,2716078.82
2015-07-19,2015,7,19,,1,30,,13244.62
2015-07-20,2015,7,20,,2,30,,136320.02
2015-07-21,2015,7,21,,3,30,,14971782.89
