Fecha,Año,Mes,Dia,Trimestre,Dia_semana,semana,dia_año,ingreso neto
2020-01-01,2020,1,1,1,4,1,1,1263904
2020-01-02,2020,1,2,1,5,1,2,5606467
2020-01-03,2020,1,3,1,6,1,3,12204509
2020-01-04,2020,1,4,1,7,1,4,2902901
2020-01-05,2020,1,5,1,1,2,5,242338
2020-01-06,2020,1,6,1,2,2,6,11654566
2020-01-07,2020,1,7,1,3,2,7,24877428
2020-01-08,2020,1,8,1,4,2,8,20833701
2020-01-09,2020,1,9,1,5,2,9,42390924
2020-01-10,2020,1,10,1,6,2,10,82712669
2020-01-11,2020,1,11,1,7,2,11,11797834
2020-01-12,2020,1,12,1,1,3,12,544152
2020-01-13,2020,1,13,1,2,3,13,68776213
2020-01-14,2020,1,14,1,3,3,14,153312367
2020-01-15,2020,1,15,1,4,3,15,231361964
2020-01-16,2020,1,16,1,5,3,16,420953087
2020-01-17,2020,1,17,1,6,3,17,654509241
2020-01-18,2020,1,18,1,7,3,18,27315731
2020-01-19,2020,1,19,1,1,4,19,250657
2020-01-20,2020,1,20,1,2,4,20,67386431
2020-01-21,2020,1,21,1,3,4,21,24831895
2020-01-22,2020,1,22,1,4,4,22,24948991
2020-01-23,2020,1,23,1,5,4,23,41704632
2020-01-24,2020,1,24,1,6,4,24,43759064
2020-01-25,2020,1,25,1,7,4,25,7708625
2020-01-26,2020,1,26,1,1,5,26,157364
2020-01-27,2020,1,27,1,2,5,27,19308716
2020-01-28,2020,1,28,1,3,5,28,13592235
2020-01-29,2020,1,29,1,4,5,29,33885488
2020-01-30,2020,1,30,1,5,5,30,23017471
2020-01-31,2020,1,31,1,6,5,31,421933009
2020-02-01,2020,2,1,1,7,5,1,3603656
2020-02-02,2020,2,2,1,1,6,2,1001432
2020-02-03,2020,2,3,1,2,6,3,8660550
2020-02-04,2020,2,4,1,3,6,4,15204299
2020-02-05,2020,2,5,1,4,6,5,8675018
2020-02-06,2020,2,6,1,5,6,6,19831982
2020-02-07,2020,2,7,1,6,6,7,37090610
2020-02-08,2020,2,8,1,7,6,8,6208421
2020-02-09,2020,2,9,1,1,7,9,108634
2020-02-10,2020,2,10,1,2,7,10,42919659
2020-02-11,2020,2,11,1,3,7,11,85782823
2020-02-12,2020,2,12,1,4,7,12,69770616
2020-02-13,2020,2,13,1,5,7,13,151767648
2020-02-14,2020,2,14,1,6,7,14,320793192
2020-02-15,2020,2,15,1,7,7,15,28277377
2020-02-16,2020,2,16,1,1,8,16,553483
2020-02-17,2020,2,17,1,2,8,17,440335647
2020-02-18,2020,2,18,1,3,8,18,468785567
2020-02-19,2020,2,19,1,4,8,19,443037078
2020-02-20,2020,2,20,1,5,8,20,39159473
2020-02-21,2020,2,21,1,6,8,21,46713258
2020-02-22,2020,2,22,1,7,8,22,14055438
2020-02-23,2020,2,23,1,1,9,23,114564
2020-02-24,2020,2,24,1,2,9,24,20659347
2020-02-25,2020,2,25,1,3,9,25,18844138
2020-02-26,2020,2,26,1,4,9,26,13119755
2020-02-27,2020,2,27,1,5,9,27,18340653
2020-02-28,2020,2,28,1,6,9,28,62775152
2020-02-29,2020,2,29,1,7,9,29,13870607
2020-03-01,2020,3,1,1,1,10,1,2535413
2020-03-02,2020,3,2,1,2,10,2,13188660
2020-03-03,2020,3,3,1,3,10,3,10326341
2020-03-04,2020,3,4,1,4,10,4,9655993
2020-03-05,2020,3,5,1,5,10,5,23645900
2020-03-06,2020,3,6,1,6,10,6,55255472
2020-03-07,2020,3,7,1,7,10,7,10041727
2020-03-08,2020,3,8,1,1,11,8,185464
2020-03-09,2020,3,9,1,2,11,9,46647484
2020-03-10,2020,3,10,1,3,11,10,58535789
2020-03-11,2020,3,11,1,4,11,11,99790233
2020-03-12,2020,3,12,1,5,11,12,108358581
2020-03-13,2020,3,13,1,6,11,13,219112627
2020-03-14,2020,3,14,1,7,11,14,24102249
2020-03-15,2020,3,15,1,1,12,15,602048
2020-03-16,2020,3,16,1,2,12,16,318918676
2020-03-17,2020,3,17,1,3,12,17,722394504
2020-03-18,2020,3,18,1,4,12,18,451769064
2020-03-19,2020,3,19,1,5,12,19,61969650
2020-03-20,2020,3,20,1,6,12,20,25383511
2020-03-21,2020,3,21,1,7,12,21,8547242
2020-03-22,2020,3,22,1,1,13,22,43339
2020-03-23,2020,3,23,1,2,13,23,19758024
2020-03-24,2020,3,24,1,3,13,24,14136903
2020-03-25,2020,3,25,1,4,13,25,19264231
2020-03-26,2020,3,26,1,5,13,26,20291973
2020-03-27,2020,3,27,1,6,13,27,23332650
2020-03-28,2020,3,28,1,7,13,28,4784840
2020-03-29,2020,3,29,1,1,14,29,107405
2020-03-30,2020,3,30,1,2,14,30,24049610
2020-03-31,2020,3,31,1,3,14,31,35923422
2020-04-01,2020,4,1,2,4,14,1,10225731
2020-04-02,2020,4,2,2,5,14,2,10306104
2020-04-03,2020,4,3,2,6,14,3,21901832
2020-04-04,2020,4,4,2,7,14,4,5445219
2020-04-05,2020,4,5,2,1,15,5,326555
2020-04-06,2020,4,6,2,2,15,6,16694390
2020-04-07,2020,4,7,2,3,15,7,25483497
2020-04-08,2020,4,8,2,4,15,8,29408359
2020-04-09,2020,4,9,2,5,15,9,646373
2020-04-10,2020,4,10,2,6,15,10,241999
2020-04-11,2020,4,11,2,7,15,11,603755
2020-04-12,2020,4,12,2,1,16,12,139338
2020-04-13,2020,4,13,2,2,16,13,60016201
2020-04-14,2020,4,14,2,3,16,14,141754700
2020-04-15,2020,4,15,2,4,16,15,236123245
2020-04-16,2020,4,16,2,5,16,16,406324694
2020-04-17,2020,4,17,2,6,16,17,673670612
2020-04-18,2020,4,18,2,7,16,18,31340359
2020-04-19,2020,4,19,2,1,17,19,517597
2020-04-20,2020,4,20,2,2,17,20,52528429
2020-04-21,2020,4,21,2,3,17,21,37052067
2020-04-22,2020,4,22,2,4,17,22,46834874
2020-04-23,2020,4,23,2,5,17,23,36746567
2020-04-24,2020,4,24,2,6,17,24,39501134
2020-04-25,2020,4,25,2,7,17,25,13795225
2020-04-26,2020,4,26,2,1,18,26,130597
2020-04-27,2020,4,27,2,2,18,27,24574875
2020-04-28,2020,4,28,2,3,18,28,42875771
2020-04-29,2020,4,29,2,4,18,29,18741990
2020-04-30,2020,4,30,2,5,18,30,435192493
2020-05-01,2020,5,1,2,6,18,1,499707
2020-05-02,2020,5,2,2,7,18,2,4076883
2020-05-03,2020,5,3,2,1,19,3,84147
2020-05-04,2020,5,4,2,2,19,4,12653569
2020-05-05,2020,5,5,2,3,19,5,14462755
2020-05-06,2020,5,6,2,4,19,6,15366594
2020-05-07,2020,5,7,2,5,19,7,13341336
2020-05-08,2020,5,8,2,6,19,8,35739483
2020-05-09,2020,5,9,2,7,19,9,8533701
2020-05-10,2020,5,10,2,1,20,10,98231
2020-05-11,2020,5,11,2,2,20,11,32228772
2020-05-12,2020,5,12,2,3,20,12,76551147
2020-05-13,2020,5,13,2,4,20,13,91624810
2020-05-14,2020,5,14,2,5,20,14,267240298
2020-05-15,2020,5,15,2,6,20,15,353663270
2020-05-16,2020,5,16,2,7,20,16,50044755
2020-05-17,2020,5,17,2,1,21,17,1724801
2020-05-18,2020,5,18,2,2,21,18,614710479
2020-05-19,2020,5,19,2,3,21,19,56357080
2020-05-20,2020,5,20,2,4,21,20,44919449
2020-05-21,2020,5,21,2,5,21,21,22707595
2020-05-22,2020,5,22,2,6,21,22,34982194
2020-05-23,2020,5,23,2,7,21,23,7585046
2020-05-24,2020,5,24,2,1,22,24,115313
2020-05-25,2020,5,25,2,2,22,25,39299381
2020-05-26,2020,5,26,2,3,22,26,15501278
2020-05-27,2020,5,27,2,4,22,27,21931175
2020-05-28,2020,5,28,2,5,22,28,17883996
2020-05-29,2020,5,29,2,6,22,29,444446411
2020-05-30,2020,5,30,2,7,22,30,9274754
2020-05-31,2020,5,31,2,1,23,31,687341
2020-06-01,2020,6,1,2,2,23,1,14963362
