Fecha,Año,Mes,Dia,Trimestre,Dia_semana,semana,dia_año,ingreso neto
2015-01-01,2015,1,1,1,5,1,1,1620978
2015-01-02,2015,1,2,1,6,1,2,2480059
2015-01-03,2015,1,3,1,7,1,3,2602978
2015-01-04,2015,1,4,1,1,2,4,2614025
2015-01-05,2015,1,5,1,2,2,5,2922174
2015-01-06,2015,1,6,1,3,2,6,4789244
2015-01-07,2015,1,7,1,4,2,7,4931880
2015-01-08,2015,1,8,1,5,2,8,7023735
2015-01-09,2015,1,9,1,6,2,9,31138739
2015-01-10,2015,1,10,1,7,2,10,51260806
2015-01-11,2015,1,11,1,1,3,11,24725854
2015-01-12,2015,1,12,1,2,3,12,119354327
2015-01-13,2015,1,13,1,3,3,13,71771093
2015-01-14,2015,1,14,1,4,3,14,46438459
2015-01-15,2015,1,15,1,5,3,15,69966145
2015-01-16,2015,1,16,1,6,3,16,189913552
2015-01-17,2015,1,17,1,7,3,17,268215820
2015-01-18,2015,1,18,1,1,4,18,111313070
2015-01-19,2015,1,19,1,2,4,19,43783168
2015-01-20,2015,1,20,1,3,4,20,10102906
2015-01-21,2015,1,21,1,4,4,21,25560409
2015-01-22,2015,1,22,1,5,4,22,31336389
2015-01-23,2015,1,23,1,6,4,23,7267179
2015-01-24,2015,1,24,1,7,4,24,6633153
2015-01-25,2015,1,25,1,1,5,25,5815741
2015-01-26,2015,1,26,1,2,5,26,6138222
2015-01-27,2015,1,27,1,3,5,27,8660209
2015-01-28,2015,1,28,1,4,5,28,6887745
2015-01-29,2015,1,29,1,5,5,29,7417488
2015-01-30,2015,1,30,1,6,5,30,15123384
2015-01-31,2015,1,31,1,7,5,31,6489668
2015-02-01,2015,2,1,1,1,6,1,8372
2015-02-02,2015,2,2,1,2,6,2,5399478
2015-02-03,2015,2,3,1,3,6,3,5478993
2015-02-04,2015,2,4,1,4,6,4,4929114
2015-02-05,2015,2,5,1,5,6,5,6210051
2015-02-06,2015,2,6,1,6,6,6,7060966
2015-02-07,2015,2,7,1,7,6,7,2175861
2015-02-08,2015,2,8,1,1,7,8,30381
2015-02-09,2015,2,9,1,2,7,9,16772703
2015-02-10,2015,2,10,1,3,7,10,20302373
2015-02-11,2015,2,11,1,4,7,11,46123010
2015-02-12,2015,2,12,1,5,7,12,265362081
2015-02-13,2015,2,13,1,6,7,13,125870090
2015-02-14,2015,2,14,1,7,7,14,17242026
2015-02-15,2015,2,15,1,1,8,15,222956
2015-02-16,2015,2,16,1,2,8,16,290847285
2015-02-17,2015,2,17,1,3,8,17,501119529
2015-02-18,2015,2,18,1,4,8,18,10629488
2015-02-19,2015,2,19,1,5,8,19,16750039
2015-02-20,2015,2,20,1,6,8,20,21951648
2015-02-21,2015,2,21,1,7,8,21,3142780
2015-02-22,2015,2,22,1,1,9,22,23220
2015-02-23,2015,2,23,1,2,9,23,17168882
2015-02-24,2015,2,24,1,3,9,24,10480883
2015-02-25,2015,2,25,1,4,9,25,7803088
2015-02-26,2015,2,26,1,5,9,26,11631703
2015-02-27,2015,2,27,1,6,9,27,35729348
2015-02-28,2015,2,28,1,7,9,28,8198188
2015-03-01,2015,3,1,1,1,10,1,56032
2015-03-02,2015,3,2,1,2,10,2,4520512
2015-03-03,2015,3,3,1,3,10,3,4638627
2015-03-04,2015,3,4,1,4,10,4,6488252
2015-03-05,2015,3,5,1,5,10,5,3395246
2015-03-06,2015,3,6,1,6,10,6,7606015
2015-03-07,2015,3,7,1,7,10,7,1893805
2015-03-08,2015,3,8,1,1,11,8,20169
2015-03-09,2015,3,9,1,2,11,9,22794857
2015-03-10,2015,3,10,1,3,11,10,19563393
2015-03-11,2015,3,11,1,4,11,11,40748410
2015-03-12,2015,3,12,1,5,11,12,278034660
2015-03-13,2015,3,13,1,6,11,13,125094212
2015-03-14,2015,3,14,1,7,11,14,28678321
2015-03-15,2015,3,15,1,1,12,15,315030
2015-03-16,2015,3,16,1,2,12,16,241834476
2015-03-17,2015,3,17,1,3,12,17,532099376
2015-03-18,2015,3,18,1,4,12,18,15101537
2015-03-19,2015,3,19,1,5,12,19,13802408
2015-03-20,2015,3,20,1,6,12,20,12419553
2015-03-21,2015,3,21,1,7,12,21,4424874
2015-03-22,2015,3,22,1,1,13,22,17386
2015-03-23,2015,3,23,1,2,13,23,8172730
2015-03-24,2015,3,24,1,3,13,24,9199040
2015-03-25,2015,3,25,1,4,13,25,10483806
2015-03-26,2015,3,26,1,5,13,26,11203278
2015-03-27,2015,3,27,1,6,13,27,13238944
2015-03-28,2015,3,28,1,7,13,28,8158465
2015-03-29,2015,3,29,1,1,14,29,74372
2015-03-30,2015,3,30,1,2,14,30,11562332
2015-03-31,2015,3,31,1,3,14,31,15397359
2015-04-01,2015,4,1,2,4,14,1,1217014
2015-04-02,2015,4,2,2,5,14,2,918
2015-04-03,2015,4,3,2,6,14,3,0
2015-04-04,2015,4,4,2,7,14,4,4800
2015-04-05,2015,4,5,2,1,15,5,5449
2015-04-06,2015,4,6,2,2,15,6,3362938
2015-04-07,2015,4,7,2,3,15,7,4086228
2015-04-08,2015,4,8,2,4,15,8,8011549
2015-04-09,2015,4,9,2,5,15,9,6776497
2015-04-10,2015,4,10,2,6,15,10,19892719
2015-04-11,2015,4,11,2,7,15,11,4195439
2015-04-12,2015,4,12,2,1,16,12,21176
2015-04-13,2015,4,13,2,2,16,13,36700576
2015-04-14,2015,4,14,2,3,16,14,59935306
2015-04-15,2015,4,15,2,4,16,15,132099913
2015-04-16,2015,4,16,2,5,16,16,474458475
2015-04-17,2015,4,17,2,6,16,17,608747472
2015-04-18,2015,4,18,2,7,16,18,5228640
2015-04-19,2015,4,19,2,1,17,19,88914
2015-04-20,2015,4,20,2,2,17,20,15278237
2015-04-21,2015,4,21,2,3,17,21,13459934
2015-04-22,2015,4,22,2,4,17,22,12564504
2015-04-23,2015,4,23,2,5,17,23,9339496
2015-04-24,2015,4,24,2,6,17,24,10851771
2015-04-25,2015,4,25,2,7,17,25,1489116
2015-04-26,2015,4,26,2,1,18,26,17603
2015-04-27,2015,4,27,2,2,18,27,11329256
2015-04-28,2015,4,28,2,3,18,28,7741561
2015-04-29,2015,4,29,2,4,18,29,12271401
2015-04-30,2015,4,30,2,5,18,30,30383509
2015-05-01,2015,5,1,2,6,18,1,3657
2015-05-02,2015,5,2,2,7,18,2,342378
2015-05-03,2015,5,3,2,1,19,3,1413
2015-05-04,2015,5,4,2,2,19,4,5236371
2015-05-05,2015,5,5,2,3,19,5,5979621
2015-05-06,2015,5,6,2,4,19,6,5555424
2015-05-07,2015,5,7,2,5,19,7,4213243
2015-05-08,2015,5,8,2,6,19,8,11762353
2015-05-09,2015,5,9,2,7,19,9,3565068
2015-05-10,2015,5,10,2,1,20,10,31063
2015-05-11,2015,5,11,2,2,20,11,19185485
2015-05-12,2015,5,12,2,3,20,12,257420483
2015-05-13,2015,5,13,2,4,20,13,50526454
2015-05-14,2015,5,14,2,5,20,14,89346010
2015-05-15,2015,5,15,2,6,20,15,162881165
2015-05-16,2015,5,16,2,7,20,16,22180833
2015-05-17,2015,5,17,2,1,21,17,222678
2015-05-18,2015,5,18,2,2,21,18,306681196
2015-05-19,2015,5,19,2,3,21,19,425280400
2015-05-20,2015,5,20,2,4,21,20,11307079
2015-05-21,2015,5,21,2,5,21,21,12848535
2015-05-22,2015,5,22,2,6,21,22,23707527
2015-05-23,2015,5,23,2,7,21,23,1538038
2015-05-24,2015,5,24,2,1,22,24,8272
2015-05-25,2015,5,25,2,2,22,25,9773835
2015-05-26,2015,5,26,2,3,22,26,10746586
2015-05-27,2015,5,27,2,4,22,27,10465822
2015-05-28,2015,5,28,2,5,22,28,11862349
2015-05-29,2015,5,29,2,6,22,29,21566716
2015-05-30,2015,5,30,2,7,22,30,11612415
2015-05-31,2015,5,31,2,1,23,31,60936
2015-06-01,2015,6,1,2,2,23,1,6739970
2015-06-02,2015,6,2,2,3,23,2,3992006
2015-06-03,2015,6,3,2,4,23,3,2775898
2015-06-04,2015,6,4,2,5,23,4,3216690
2015-06-05,2015,6,5,2,6,23,5,7819503
2015-06-06,2015,6,6,2,7,23,6,1772903
2015-06-07,2015,6,7,2,1,24,7,10141
2015-06-08,2015,6,8,2,2,24,8,17017761
2015-06-09,2015,6,9,2,3,24,9,18226061
2015-06-10,2015,6,10,2,4,24,10,246711222
2015-06-11,2015,6,11,2,5,24,11,42313517
